Name,Spell Level,Castable as Higher Level,Has DC,Has Attack,PHB Page
Acid Splash,0,1,1,0,211
Aid,2,1,0,0,211
Alarm,1,0,0,0,211
Alter Self,2,0,0,0,211
Animal Friendship,1,1,1,0,212
Animal Messenger,2,1,0,0,212
Animal Shapes,8,0,0,0,212
Animate Dead,3,1,0,0,212
Animate Objects,5,1,0,0,213
Antilife Shell,5,0,0,0,213
Antimagic Field,8,0,0,0,213
Antipathy/Sympathy,8,0,1,0,214
Arcane Eye,4,0,0,0,214
Arcane Gate,6,0,0,0,214
Arcane Lock,2,0,0,0,215
Armor of Agathys,1,1,0,0,215
Arms of Hadar,1,1,0,0,215
Astral Projection,9,0,0,0,215
Augury,2,0,0,0,215
Aura of Life,4,0,0,0,216
Aura of Purity,4,0,0,0,216
Aura of Vitality,3,0,0,0,216
Awaken,5,0,0,0,216
Bane,1,1,1,0,216
Banishing Smite,5,0,0,0,216
Banishment,4,1,1,0,217
Barkskin,2,0,0,0,217
Beacon of Hope,3,0,0,0,217
Beast Sense,2,0,0,0,217
Bestow Curse,3,1,1,0,218
Bigby's Hand,5,1,0,1,218
Blade Barrier,6,0,1,0,218
Blade Ward,0,0,0,0,218
Bless,1,1,0,0,219
Blight,4,1,1,0,219
Blinding Smite,3,0,1,0,219
Blindness/Deafness,2,1,1,0,219
Blink,3,0,0,0,219
Blur,2,0,0,0,219
Branding Smite,2,1,0,0,219
Burning Hands,1,1,1,0,220
Call Lightning,3,1,1,0,220
Calm Emotions,2,0,1,0,221
Chain Lightning,6,1,1,0,221
Charm Person,1,1,1,0,221
Chill Touch,0,1,0,1,221
Chromatic Orb,1,1,0,1,221
Circle of Death,6,0,1,1,221
Circle of Power,5,0,0,0,221
Clairvoyance,3,0,0,0,222
Clone,8,0,0,0,222
Cloud of Daggers,2,1,0,0,222
Cloudkill,5,1,1,0,222
Color Spray,1,1,0,0,222
Command,1,1,1,0,223
Commune,5,0,0,0,223
Commune with Nature,5,0,0,0,224
Compelled Duel,1,0,1,0,224
Comprehend Languages,1,0,0,0,224
Compulsion,4,0,1,0,224
Cone of Cold,5,1,1,0,224
Confusion,4,1,1,0,224
Conjure Animals,3,1,0,0,225
Conjure Barrage,3,0,1,0,225
Conjure Celestial,7,1,0,0,225
Conjure Elemental,5,1,0,0,225
Conjure Fey,6,1,0,0,226
Conjure Minor Elementals,4,1,0,0,226
Conjure Volley,5,0,1,0,226
Conjure Woodland Beings,4,1,0,0,226
Contact Other Plane,5,0,0,0,226
Contagion,5,0,1,0,227
Contingency,6,0,0,0,227
Continual Flame,2,0,0,0,227
Control Water,4,0,1,0,227
Control Weather,8,0,0,0,228
Cordon of Arrows,2,1,1,0,228
Counterspell,3,1,0,1,228
Create Food and Water,3,0,0,0,229
Create or Destroy Water,1,1,0,0,229
Create Undead,6,1,0,0,229
Creation,5,1,0,0,229
Crown of Madness,2,0,1,0,229
Crusader's Mantle,3,0,0,0,230
Cure Wounds,1,1,0,0,230
Dancing Lights,0,0,0,0,230
Darkness,2,0,0,0,230
Darkvision,2,0,0,0,230
Daylight,3,0,0,0,230
Death Ward,4,0,0,0,230
Delayed Blast Fireball,7,1,1,0,230
Demiplane,8,0,0,0,231
Destructive Wave,5,0,1,0,231
Detect Evil and Good,1,0,0,0,231
Detect Magic,1,0,0,0,231
Detect Poison and Disease,1,0,0,0,231
Detect Thoughts,2,0,1,0,231
Dimension Door,4,0,0,0,233
Disguise Self,1,0,0,0,233
Disintegrate,6,1,1,0,233
Dispel Evil and Good,5,0,1,1,233
Dispel Magic,3,1,0,1,234
Dissonant Whispers,1,1,1,0,234
Divination,4,0,0,0,234
Divine Favor,1,0,0,0,234
Divine Word,7,0,0,0,234
Dominate Beast,4,1,1,0,234
Dominate Monster,8,1,1,0,235
Dominate Person,5,1,1,0,235
Drawmij's Instant Summons,6,0,0,0,235
Dream,5,0,1,0,236
Druidcraft,0,0,0,0,236
Earthquake,8,0,1,0,236
Eldritch Blast,0,1,0,1,237
Elemental Weapon,3,1,0,0,237
Enhance Ability,2,0,0,0,237
Enlarge/Reduce,2,0,1,0,237
Ensnaring Strike,1,1,1,0,237
Entangle,1,0,1,0,238
Enthrall,2,0,1,0,238
Etherealness,7,1,0,0,238
Evard's Black Tentacles,4,0,1,0,238
Expeditious Retreat,1,0,0,0,238
Eyebite,6,0,1,0,238
Fabricate,4,0,0,0,239
Faerie Fire,1,0,1,0,239
False Life,1,1,0,0,239
Fear,3,0,1,0,239
Feather Fall,1,0,0,0,239
Feeblemind,8,0,1,0,239
Feign Death,3,0,0,0,240
Find Familiar,1,0,0,0,240
Find Steed,2,0,0,0,240
Find the Path,6,0,0,0,240
Find Traps,2,0,0,0,241
Finger of Death,7,0,1,0,241
Fire Bolt,0,1,0,1,242
Fire Shield,4,0,0,0,242
Fire Storm,7,0,1,0,242
Fireball,3,1,1,0,241
Flame Blade,2,1,0,1,242
Flame Strike,5,1,1,0,242
Flaming Sphere,2,1,1,0,242
Flesh to Stone,6,0,1,0,243
Fly,3,1,0,0,243
Fog Cloud,1,1,0,0,243
Forbiddance,6,0,0,0,243
Forcecage,7,0,1,0,243
Foresight,9,0,0,0,244
Freedom of Movement,4,0,0,0,244
Friends,0,0,0,0,244
Gaseous Form,3,0,0,0,244
Gate,9,0,0,0,244
Geas,5,1,1,0,244
Gentle Repose,2,0,0,0,245
Giant Insect,4,0,0,0,245
Glibness,8,0,0,0,245
Globe of Invulnerability,6,1,0,0,245
Glyph of Warding,3,1,1,0,245
Goodberry,1,0,0,0,246
Grasping Vine,4,0,1,0,246
Grease,1,0,1,0,246
Greater Invisibility,4,0,0,0,246
Greater Restoration,5,0,0,0,246
Guardian of Faith,4,0,0,0,246
Guards and Wards,6,0,1,0,248
Guidance,0,0,0,0,248
Guiding Bolt,1,1,0,1,248
Gust of Wind,2,0,1,0,248
Hail of Thorns,1,1,1,0,249
Hallow,5,0,1,0,249
Hallucinatory Terrain,4,0,1,0,249
Harm,6,0,1,0,249
Haste,3,0,0,0,250
Heal,6,1,0,0,250
Healing Word,1,1,0,0,250
Heat Metal,2,1,1,0,250
Hellish Rebuke,1,1,1,0,250
Heroes' Feast,6,0,0,0,250
Heroism,1,1,0,0,250
Hex,1,1,0,1,251
Hold Monster,5,1,1,0,251
Hold Person,2,1,1,0,251
Holy Aura,8,0,0,0,251
Hunger of Hadar,3,0,1,0,251
Hunter's Mark,1,1,0,0,251
Hypnotic Pattern,3,0,1,0,252
Ice Storm,4,1,1,0,252
Identify,1,0,0,0,252
Illusory Script,1,0,0,0,252
Imprisonment,9,0,1,0,252
Incendiary Cloud,8,0,1,0,253
Inflict Wounds,1,1,0,1,253
Insect Plague,5,1,1,0,254
Invisibility,2,1,0,0,254
Jump,1,0,0,0,254
Knock,2,0,0,0,254
Legend Lore,5,0,0,0,254
Leomund's Secret Chest,4,0,0,0,254
Leomund's Tiny Hut,3,0,0,0,255
Lesser Restoration,2,0,0,0,255
Levitate,2,0,0,0,255
Light,0,0,0,0,255
Lightning Arrow,3,1,1,0,255
Lightning Bolt,3,1,1,0,255
Locate Animals or Plants,2,0,0,0,256
Locate Creature,4,0,0,0,256
Locate Object,2,0,0,0,256
Longstrider,1,1,0,0,256
Mage Armor,1,0,0,0,256
Mage Hand,0,0,0,0,256
Magic Circle,3,1,1,0,256
Magic Jar,6,0,0,0,257
Magic Missile,1,1,0,0,257
Magic Mouth,2,0,0,0,257
Magic Weapon,2,1,0,0,257
Major Image,3,1,1,0,258
Mass Cure Wounds,5,1,0,0,258
Mass Heal,9,0,0,0,258
Mass Healing Word,3,1,0,0,258
Mass Suggestion,6,1,1,0,258
Maze,8,0,0,0,258
Meld into Stone,3,0,0,0,259
Melf's Acid Arrow,2,1,0,1,259
Mending,0,0,0,0,259
Message,0,0,0,0,259
Meteor Swarm,9,0,1,0,259
Mind Blank,8,0,0,0,259
Minor Illusion,0,0,1,0,260
Mirage Arcane,7,0,0,0,260
Mirror Image,2,0,0,0,260
Mislead,5,0,0,0,260
Misty Step,2,0,0,0,260
Modify Memory,5,1,1,0,261
Moonbeam,2,1,1,0,261
Mordenkainen's Faithful Hound,4,0,0,0,261
Mordenkainen's Magnificent Mansion,7,0,0,0,261
Mordenkainen's Private Sanctum,4,1,0,0,262
Mordenkainen's Sword,7,0,0,1,262
Move Earth,6,0,0,0,263
Nondetection,3,0,0,0,263
Nystul's Magic Aura,2,0,0,0,263
Otiluke's Freezing Sphere,6,1,1,0,263
Otiluke's Resilient Sphere,4,0,1,0,264
Otto's Irresistible Dance,6,0,1,0,264
Pass without Trace,2,0,0,0,264
Passwall,5,0,0,0,264
Phantasmal Force,2,0,1,0,264
Phantasmal Killer,4,1,1,0,265
Phantom Steed,3,0,0,0,265
Planar Ally,6,0,0,0,265
Planar Binding,5,1,1,0,265
Plane Shift,7,0,0,0,266
Plant Growth,3,0,0,0,266
Poison Spray,0,1,1,0,266
Polymorph,4,0,0,0,266
Power Word Heal,9,0,0,0,266
Power Word Kill,9,0,0,0,266
Power Word Stun,8,0,0,0,267
Prayer of Healing,2,1,0,0,267
Prestidigitation,0,0,0,0,267
Prismatic Spray,7,0,1,0,267
Prismatic Wall,9,0,1,0,267
Produce Flame,0,0,0,0,269
Programmed Illusion,6,0,1,0,269
Project Image,7,0,1,0,270
Protection from Energy,3,0,0,0,270
Protection from Evil and Good,1,0,0,0,270
Protection from Poison,2,0,0,0,270
Purify Food and Drink,1,0,0,0,270
Raise Dead,5,0,0,0,270
Rary's Telepathic Bond,5,0,0,0,270
Ray of Enfeeblement,2,0,0,1,271
Ray of Frost,0,1,0,1,271
Ray of Sickness,1,1,0,1,271
Regenerate,7,0,0,0,271
Reincarnate,5,0,0,0,271
Remove Curse,3,0,0,0,271
Resistance,0,0,0,0,272
Resurrection,7,0,0,0,272
Reverse Gravity,7,0,1,0,272
Revivify,3,0,0,0,272
Rope Trick,2,0,0,0,272
Sacred Flame,0,1,1,0,272
Sanctuary,1,0,1,0,272
Scorching Ray,2,1,0,1,273
Scrying,5,0,1,0,273
Searing Smite,1,1,1,0,274
See Invisibility,2,0,0,0,274
Seeming,5,0,1,0,274
Sending,3,0,0,0,274
Sequester,7,0,0,0,274
Shapechange,9,0,0,0,274
Shatter,2,0,1,0,275
Shield,1,0,0,0,275
Shield of Faith,1,0,0,0,275
Shillelagh,0,0,0,1,275
Shocking Grasp,0,1,0,1,275
Silence,2,0,0,0,275
Silent Image,1,0,1,0,276
Simulacrum,7,0,0,0,276
Sleep,1,1,0,0,276
Sleet Storm,3,0,1,0,276
Slow,3,0,1,0,277
Spare the Dying,0,0,0,0,277
Speak with Animals,1,0,0,0,277
Speak with Dead,3,0,0,0,277
Speak with Plants,3,0,0,0,277
Spider Climb,2,0,0,0,277
Spike Growth,2,0,1,0,277
Spirit Guardians,3,1,1,0,278
Spiritual Weapon,2,1,0,1,278
Staggering Smite,4,0,1,0,278
Stinking Cloud,3,0,1,0,278
Stone Shape,4,0,0,0,278
Stoneskin,4,0,0,0,278
Storm of Vengeance,9,0,1,0,279
Suggestion,2,0,1,0,279
Sunbeam,6,0,1,0,279
Sunburst,8,0,1,0,279
Swift Quiver,5,0,0,0,279
Symbol,7,0,1,0,280
Tasha's Hideous Laughter,1,0,1,0,280
Telekinesis,5,0,1,0,280
Telepathy,8,0,0,0,281
Teleport,7,0,0,0,281
Teleportation Circle,5,0,0,0,282
Tenser's Floating Disk,1,0,0,0,282
Thaumaturgy,0,0,0,0,282
Thorn Whip,0,1,0,1,282
Thunderous Smite,1,0,1,0,282
Thunderwave,1,1,1,0,282
Time Stop,9,0,0,0,283
Tongues,3,0,0,0,283
Transport via Plants,6,0,0,0,283
Tree Stride,5,0,0,0,283
True Polymorph,9,0,1,0,283
True Resurrection,9,0,0,0,284
True Seeing,6,0,0,0,284
True Strike,0,0,0,0,284
Tsunami,8,0,1,0,284
Unseen Servant,1,0,0,0,284
Vampiric Touch,3,1,0,1,285
Vicious Mockery,0,1,1,0,285
Wall of Fire,4,1,1,0,285
Wall of Force,5,0,0,0,285
Wall of Ice,6,1,1,0,285
Wall of Stone,5,0,0,0,287
Wall of Thorns,6,1,1,0,287
Warding Bond,2,0,0,0,287
Water Breathing,3,0,0,0,287
Water Walk,3,0,0,0,287
Web,2,0,1,0,287
Weird,9,0,1,0,288
Wind Walk,6,0,0,0,288
Wind Wall,3,0,1,0,288
Wish,9,0,1,0,288
Witch Bolt,1,1,0,1,289
Word of Recall,6,0,0,0,289
Wrathful Smite,1,0,0,0,289
Zone of Truth,2,0,0,0,289
